% Open solar flux
% 27-day means(Bartel Rotation Periods) for 1964-December 2018 (inclusive)
% Kinematically corrected to remove folded flux
% please acknowledge M. Lockwood, University of Reading, UK
% and cite
% M. Lockwood, M. Owens, and A.P. Rouillard (2009)
% Excess Open Solar Magnetic Flux from Satellite Data: II. A survey of kinematic effects
% J. Geophys. Res., 114, A11104, doi: 10.1029/2009JA014450
% and 
% M. Lockwood, M. Owens, and A.P. Rouillard
% Excess Open Solar Magnetic Flux from Satellite Data: I. Analysis of the 3rd Perihelion Ulysses Pass
% J. Geophys. Res., 114, A11103, doi:10.1029/2009JA014449, 2009   

%  decimal year    OSF (10^15 Wb)         B (nT)       |Br| (nT)
   1.9754068e+03   2.8642659e-01   5.6664751e+00   2.7559387e+00
   1.9754808e+03   2.6738410e-01   4.8192534e+00   2.5681729e+00
   1.9755547e+03   3.3107020e-01   5.9925144e+00   3.0483685e+00
   1.9756287e+03   3.8679987e-01   6.2135802e+00   3.4155556e+00
   1.9757027e+03   3.1792800e-01   5.3988806e+00   2.8598881e+00
   1.9757767e+03   2.8628623e-01   5.2457421e+00   2.7111922e+00
   1.9758506e+03   4.2234786e-01   6.9780488e+00   3.8881098e+00
   1.9759246e+03   4.3384880e-01   6.6340984e+00   3.9075410e+00
   1.9759986e+03   3.9883546e-01   6.9548287e+00   3.3890966e+00
   1.9760723e+03   3.5918876e-01   6.3503704e+00   3.3511111e+00
   1.9761461e+03   4.1585241e-01   5.9138514e+00   3.3222973e+00
   1.9762199e+03   3.4145676e-01   5.2515625e+00   3.0134375e+00
   1.9762937e+03   3.1155844e-01   5.2978142e+00   2.9636612e+00
   1.9763674e+03   3.3784463e-01   5.6923810e+00   3.0826190e+00
   1.9764412e+03   2.9740540e-01   4.9767327e+00   2.7017327e+00
   1.9765150e+03   2.6982555e-01   5.0892183e+00   2.6854447e+00
   1.9765887e+03   2.8915818e-01   5.1210983e+00   2.7760116e+00
   1.9766625e+03   3.6711030e-01   4.9967742e+00   2.9029570e+00
   1.9767363e+03   3.0786427e-01   5.4102757e+00   3.0042607e+00
   1.9768101e+03   2.5714564e-01   4.8645333e+00   2.4568000e+00
   1.9768838e+03   3.8040877e-01   5.8868812e+00   3.2831683e+00
   1.9769576e+03   2.7666058e-01   5.6540059e+00   2.7017804e+00
   1.9770314e+03   3.9808400e-01   6.0904192e+00   3.2341317e+00
   1.9771054e+03   3.5603782e-01   6.3116071e+00   3.2083333e+00
   1.9771794e+03   3.8281843e-01   5.7570978e+00   3.0280757e+00
   1.9772534e+03   2.8880786e-01   5.3258523e+00   2.7241477e+00
   1.9773273e+03   2.4167650e-01   5.9699229e+00   2.5154242e+00
   1.9774013e+03   3.5238064e-01   5.4230179e+00   2.6795396e+00
   1.9774753e+03   3.5321432e-01   6.9133739e+00   3.5155015e+00
   1.9775493e+03   2.6768217e-01   4.8624183e+00   2.5277778e+00
   1.9776232e+03   3.5642583e-01   5.7812968e+00   3.1650873e+00
   1.9776972e+03   1.9570530e-01   6.0382488e+00   2.4520737e+00
   1.9777712e+03   3.5657077e-01   6.1531401e+00   3.0258454e+00
   1.9778451e+03   3.0831218e-01   6.2371968e+00   3.1765499e+00
   1.9779191e+03   2.9738412e-01   5.8165394e+00   2.6681934e+00
   1.9779931e+03   4.2896077e-01   6.5688679e+00   3.5242138e+00
   1.9780671e+03   3.7263976e-01   7.8935484e+00   3.4040323e+00
   1.9781410e+03   4.6647395e-01   7.8356877e+00   3.4814126e+00
   1.9782150e+03   4.3258631e-01   6.9198444e+00   3.7424125e+00
