%% Annual open solar flux values in units of 10^14 Wb
%%            (corrected for kinematic solar wind effects)
%% column 1 - year
%% column 2 - open solar flux from model and geomagnetic activity data
%%            values after 1900 are from geomagnetic activity using the
%%            aa and m indices using the method of Lockwood et al. (2009)
%%            values before 1900 are from the model of Vieira and Solanki (2010)
%% column 3 - open solar flux from near-Earth IMF magnetometer data
%% bad/missing data code = NaN 
%%
%% when using please cite references
%% Lockwood, M., A.P. Rouillard, and I.D. Finch 
%% The rise and fall of open solar flux during the current grand solar maximum, 
%% Ap. J., 700, 937–944, 2009. doi:10.1088/0004-637X/700/2/937
%%
%% Lockwood, M., R. Stamper and M.N. Wild
%% A doubling of the sun's coronal magnetic field during the last 100 years
%% Nature, 399, 437-439, 1999
%%
%% Vieira, L.E.A. and S.K. Solanki
%% Evolution of the solar magnetic flux on time scales of years to millennia
%% Astron & Astrophys, 509(1), A100, 2010. doi: 10.1051/0004-6361/200913276 2010
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% date            OSF                  OSF
%                 from model and       from satellite
%                 geomagnetic data     IMF data  
  1.8235000e+003  9.4888662e-001             NaN
  1.8245000e+003  1.1029225e+000             NaN
  1.8255000e+003  1.2873350e+000             NaN
  1.8265000e+003  1.5475010e+000             NaN
  1.8275000e+003  1.8858599e+000             NaN
  1.8285000e+003  2.1368854e+000             NaN
  1.8295000e+003  2.1884037e+000             NaN
  1.8305000e+003  2.2473528e+000             NaN
  1.8315000e+003  2.1069224e+000             NaN
  1.8325000e+003  1.8726772e+000             NaN
  1.8335000e+003  1.6989569e+000             NaN
  1.8345000e+003  1.7817554e+000             NaN
  1.8355000e+003  2.2885296e+000             NaN
  1.8365000e+003  3.2359282e+000             NaN
  1.8375000e+003  3.8593668e+000             NaN
  1.8385000e+003  3.6827312e+000             NaN
  1.8395000e+003  3.4721061e+000             NaN
  1.8405000e+003  3.3691069e+000             NaN
  1.8415000e+003  3.0458584e+000             NaN
  1.8425000e+003  2.7847375e+000             NaN
  1.8435000e+003  2.5552921e+000             NaN
  1.8445000e+003  2.3891661e+000             NaN
  1.8455000e+003  2.4215844e+000             NaN
  1.8465000e+003  2.5277984e+000             NaN
  1.8475000e+003  2.5953715e+000             NaN
  1.8485000e+003  3.0481808e+000             NaN
  1.8495000e+003  3.2176292e+000             NaN
  1.8505000e+003  2.9132030e+000             NaN
  1.8515000e+003  2.8025046e+000             NaN
  1.8525000e+003  2.7442892e+000             NaN
  1.8535000e+003  2.5587396e+000             NaN
  1.8545000e+003  2.2882904e+000             NaN
  1.8555000e+003  2.0789972e+000             NaN
  1.8565000e+003  1.9626528e+000             NaN
  1.8575000e+003  2.0450631e+000             NaN
  1.8585000e+003  2.3904896e+000             NaN
  1.8595000e+003  2.7965851e+000             NaN
  1.8605000e+003  3.0252157e+000             NaN
  1.8615000e+003  2.9160016e+000             NaN
  1.8625000e+003  2.5963025e+000             NaN
  1.8635000e+003  2.3861333e+000             NaN
  1.8645000e+003  2.2751499e+000             NaN
  1.8655000e+003  2.1440667e+000             NaN
  1.8665000e+003  2.0120417e+000             NaN
  1.8675000e+003  1.8692892e+000             NaN
  1.8685000e+003  2.0584020e+000             NaN
  1.8695000e+003  2.5769042e+000             NaN
  1.8705000e+003  3.0719978e+000             NaN
  1.8715000e+003  3.2122921e+000             NaN
  1.8725000e+003  3.0482726e+000             NaN
  1.8735000e+003  2.7820914e+000             NaN
  1.8745000e+003  2.4298679e+000             NaN
  1.8755000e+003  2.1106160e+000             NaN
  1.8765000e+003  1.9292241e+000             NaN
  1.8775000e+003  1.8600305e+000             NaN
  1.8785000e+003  1.7559110e+000             NaN
  1.8795000e+003  1.7038555e+000             NaN
  1.8805000e+003  1.8719904e+000             NaN
  1.8815000e+003  2.1607991e+000             NaN
  1.8825000e+003  2.2397705e+000             NaN
  1.8835000e+003  2.2297693e+000             NaN
  1.8845000e+003  2.4404140e+000             NaN
  1.8855000e+003  2.2517890e+000             NaN
  1.8865000e+003  1.9732454e+000             NaN
  1.8875000e+003  1.7523758e+000             NaN
